is_sarcastic	headline
1	Un día cualquiera te darás cuenta de que tus hijos salieron bien feos y te vas a preguntar por qué no te casaste conmigo
1	No es que tenga miedo a morirme. Es tan sólo, que no quiero estar allí cuando suceda
1	No hay cosa más difícil, bien mirado, que conocer un necio si es callado
1	El verdadero héroe de algunas obras literarias es el lector que las aguanta
1	No soy lo suficientemente joven para saberlo
1	La experiencia es como un peine que te dan, justo cuando te quedas calvo
1	En ningún momento he dudado que las mujeres son tontas. Al fin y al cabo el Todopoderoso las creó a imagen y semejanza de los hombres
1	He pasado una noche estupenda. Pero no ha sido esta
1	Haz algo productivo. Deja de ser tú mismo
1	Cualquier mujer puede ser glamurosa. Todo lo que tienes que hacer es permanecer de pie y parecer estúpida
1	Es cierto que no te quiero tanto como cuando éramos novios, pero a mí nunca me han gustado las mujeres casadas
1	Lo he hablado a mi esposa en años. No la quería interrumpir
1	Estamos especializados en una armoniosa repetición del desastre y la estupidez
1	Estos son mis principios. Si a usted no le gustan, tengo otros
1	La reunión entre procastinadores se ha pospuesto
1	Hablar oscuramente lo sabe hacer cualquiera, con claridad lo hacen muy pocos
1	Hay dos tipos de mujeres: las feas y las que se pintan
1	Hay mucha gente que cuando ha de hacer algo, hace algo; aunque no sea exactamente lo que ha de hacer
1	La experiencia es la enfermedad que ofrece el menor peligro de contagio
1	La Historia es como una destilación del chismorreo
1	La consecuencia de no pertenecer a ningún partido será que los molestaré a todos
1	La estupidez insiste siempre
1	¿Cien mil espermatozoides y fuiste el más rápido?
1	Fuera del perro, un libro es probablemente el mejor amigo del hombre, y dentro del perro probablemente está demasiado oscuro para leer
1	Estoy impresionado; nunca he conocido una mente tan pequeña en una cabeza tan grande
1	Los jóvenes piensan que los viejos son tontos. Los viejos saben que los jóvenes lo son
1	Los solteros deberían pagar más impuestos. No es justo que unos hombres sean más felices que otros
1	La hora perfecta de comer es, para el rico cuando tiene ganas, y para el pobre, cuando tiene qué
1	La magnitud de las cantidades de dinero parece variar en modo notable según hayan de ser pagadas o cobradas
1	La muerte está tan segura de cogerte, que te deja una vida de ventaja
1	Detrás de cada gran hombre hay una gran mujer. Detrás de ella, está su esposa
1	Los hombres engañan más que las mujeres; las mujeres, mejor
1	El mejor matrimonio sería aquel que reuniese a una mujer ciega con un marido sordo
1	Jamás ha habido un niño tan adorable que la madre no quiera poner a dormir
1	La caridad bien entendida empieza por uno mismo, y generalmente acaba ahí
1	La ciencia es una disciplina en la que el tonto de hoy puede sobrepasar el punto alcanzado por el genio de la generación precedente
1	La muerte tiene una sola cosa agradable: las viudas
1	No te preocupes por tu corazón, te durará toda la vida
1	Optimista es aquél que cree poder resolver un atasco de tráfico tocando el claxon
1	Reconozco que muchas de mis bromas son muy idiotas. Admito mi parte de culpa en el proceso de idiotización del país
1	Seguramente, existen muchas razones para los divorcios; pero la principal, es y será la boda
1	La primera mitad de nuestra vida nos la estropean nuestros padres; la segunda nuestros hijos
1	La razón que muchos retratos no sean fieles, es que las personas al posar, no se esfuerzan por parecerse a sus retratos
1	La sabiduría nos llega cuando ya no nos sirve de nada
1	La televisión ha hecho maravillas por mi cultura. En cuanto alguien enciende la televisión, voy a la biblioteca y me leo un buen libro
1	La tontería es la más extraña de las enfermedades. El enfermo nunca sufre, los que padecen la enfermedad son los demás
1	La vida es una enfermedad de transmisión sexual
1	Las mujeres desconfían demasiado de los hombres en general y muy poco en particular
1	Lo de "Hogar dulce hogar" debe haberlo escrito un hombre soltero
1	Lo único en el mundo peor que una mujer es otra
1	Los astrónomos aseguran que el universo es finito, lo cual es reconfortante para aquellos que no podemos recordar dónde dejamos las cosas
1	Los hombres construyen puentes y tienden vías férreas a través de desiertos, y, no obstante, sostienen con éxito, que coser un botón es una tarea superior a ellos
1	Me opongo a toda superstición, sea musulmana, cristiana, judía o budista
1	Pensaba que ibas a ser el amor de mi vida, pero resulta que has acabado siendo el amor de muchas otras vidas
1	Eres sin duda la mejor peor relación que he tenido en toda mi vida
1	Cuando pensaba que me estabas prestando atención, resulta que solo estabas pensando en tus cosas
1	Me haces el segundo o tercer hombre más feliz del mundo creo yo
1	Al menos podrías haber disimulado un poco que me eras infiel, la verdad es que pillarte en nuestra cama ha sido algo muy poco discreto
1	No sé en qué momento te he querido más, si cuando me dejaste o cuando te fuiste con mi mejor amigo
1	Estoy muy agradecido, de verdad, al final me has dado la única cosa que solo tú me podrías haber dado nunca, tu ausencia
1	Crees que me has decepcionado, pero lo cierto es que no, ya que solo decepcionan aquellas personas de las que esperabas algo
1	Eres sin duda el bicho más guapo que he visto en toda mi vida
1	Pues es verdad eso de que tenías una relación maravillosa, qué pena que fuera con el hombre con el que me ponías los cuernos
1	Siempre me habían dicho que el amor era lo mejor que te podía ocurrir en la vida… claramente siempre me han tenido engañado
1	Algún día quizá me puedas explicar por qué me decías que me querías si realmente lo que querías era dejarme
1	El amor es lo peor que me ha podido ocurrir nunca, me ha parecido una manera de lo más tonta de perder toda mi dignidad y todo el orgullo que me quedaba
1	He debido de ser tremendamente malo en otra vida para que Cupido me emparejara contigo
1	Tanto tiempo queriéndote en silencio, para que ahora que por fin me hablas, me dé cuenta de que no tienes nada interesante que decir, ojalá pudiéramos volver a lo de antes
1	Por favor, recuérdame en qué momento me enamoré de ti. Lo digo en serio, recuérdamelo porque yo no puedo pensarlo
1	El amor es algo curioso porque la persona a la que más quieres en el mundo también es la que más te puede hacer enfadar
1	No te puedes imaginar lo mucho que me atraes… hacia el precipicio
1	Tienes una manera preciosa de enfadarte conmigo
1	Créeme, me encantaría hacerte caso y seguir tus consejos, pero es que no me siento capaz, prefiero que las cosas me vayan bien sin hacer el ridículo
1	Por supuesto que podemos ir juntos a la fiesta, ya cuando lleguemos allí nos separamos y que cada uno vaya por su lado, no vaya a ser que nos relacionen y se crean que me caes bien
1	El dinero no da la felicidad, pero ayuda, y si no ¿Por qué los ricos siempre parece que se están divirtiendo?
1	De pequeño mis padres siempre me decían que yo podía ser de mayor todo lo que quisiera, así que ahora no me vengas diciendo que no puedo ser el rey del mundo porque ya es demasiado tarde para eso
1	No te preocupes porque se metan contigo o porque te insulten, siempre recuerda que es mucho peor que directamente no hablen de ti ni se acuerden. Lo importante es tener fama, no hay que especificar el tipo de fama
1	No eres feo, simplemente eres un poco difícil de mirar, pero nada que no se arregle sin pasar por el cirujano
1	Eres el mejor desastre que he conocido en mi vida
1	Mi madre me dice que soy una persona muy desordenada, pero la verdad es que no estoy de acuerdo. Dentro de mi desorden yo sé exactamente dónde está todo, después viene ella, me lo ordena, y ya no encuentro nada de nada
1	Hay persona que creen que la televisión es muy educativa, yo opino lo mismo porque cada vez que alguien la enciende, yo me voy a hacer cosas mucho más interesantes
1	Siempre haz los favores que la gente te pida, recuerda que nunca se sabe cuándo te lo podrás cobrar por algo más grande
1	Si jugaras al futbol como juegas conmigo, ahora estarías en la selección nacional
1	Algunos fuman, otros se embriagan, algunos se drogan, y otros se enamoran. Lo cierto es que cada quien se destruye a su manera
1	A veces necesito lo que solo tú me puedes dar: tu ausencia
1	No guardo rencor, pero tengo buena memoria
1	No quiero alcanzar la inmortalidad a través de mi trabajo. La quiero conseguir sin morir
1	Tu corazón está tan ocupado como la línea de tu teléfono
1	¡Cuidado! Felicidad de dos, envidia de miles
1	A veces pienso en quién caerá en tus brazos y no se si reírme o sentir compasión
1	Encuentro a la televisión muy educativa. Cada vez que alguien la enciende, me voy a otra habitación a leer un libro
1	Felices son los que nada esperan, porque nunca serán defraudados
1	Quería pedirte el número de tus ex para formar una especie de grupo de apoyo
1	La historia nos ha enseñado que el hombre y las naciones se comportan sabiamente cuando han agotado todas las alternativas
1	Cría recuerdos y te sacarán lágrimas
1	Te busqué en el diccionario... y no significas nada
1	¿Por qué debemos aceptar consejos sexuales del papa? Si sabe algo de sexo, ¡no debería!
1	Le dije 'tráeme lo que quieras'... y solo me trajo mentiras
1	Ame ahora, pague después
1	Tantas veces me dejaste caer, que aprendí a volar
1	Hay tres cosas que salen siempre: el Sol, la Luna y la verdad
1	¿Me ayudas a buscar algo? -¿Qué cosa? -Todo el tiempo que perdí contigo
1	El amor es hijo de la ilusión y padre de la desilusión
1	Eres un perfecto artefacto de defectos
1	El problema es que la gente sabe poco, pero habla demasiado
1	Si esto es amor, prefiero ver televisión, es más educativo y menos posesivo
1	Muchas personas deciden gastar fortunas en sus bodas porque, en algunos casos, es el último día de felicidad en sus vidas
1	Si te crees la última Coca-cola del desierto, a mí me gusta la cerveza
1	Nadie tiene dominio sobre el amor, pero él domina las cosas
1	Perdón, pensé que era el amor de mi vida... ¡Siguiente!
1	Si alguien te es infiel querrás tirarte por el balcón, pero recuerda, tienes cuernos, no alas
1	El amor es como la guerra: fácil de empezar, difícil de terminar
1	La inactividad sexual es peligrosa... ¡Produce cuernos!
1	Decirte adiós fue tan difícil como escribir esta frase
1	Tu eternidad sólo duró un par de meses
1	Algún día empezaré lo que terminó
1	Querido Cupido, más puntería la próxima vez, a ver si das con el indicado
1	Si el amor es ciego... ¿Por qué la ropa interior es tan popular?
1	No se puede olvidar a la Reina, jugando a las Damas
1	Hay muchas formas de invocar al diablo: mediante una ouija, un rezo, un exorcismo, o preguntando “¿estás enojada mi amor?"
1	Te odié tanto como te amé
1	Es de mala educación decir "te amo" con la boca llena de mentiras
1	Ten cuidado, cualquier día de estos llamarás a mi corazón y sonará ocupado
1	Si no vas a cumplir, ni ilusiones ni prometas
1	Un consejo: en el futuro intenta ser menos inteligente... perdón: evidente
1	El amor es ciego, déjelo pasar
1	Si no te gusta como soy, cambia tú
1	La mujer que tiene suerte con los hombres, no sabe la suerte que tiene
1	Antes cruzaba el océano por ti, hoy no cruzo ni los dedos
1	Es increíble la cantidad de problemas que podría solucionar con una motosierra
1	Mañana tendré en cuenta tu opinión, hoy no me interesa
1	No entiendo a la gente que es feliz y que todavía no me conoce, de verdad, no la entiendo
1	Hay personas, que desde el primer momento en que las ves, sabes que quieres pasar el resto de tu vida… sin volver a verlas
1	Tenemos el mejor gobierno que el dinero puede comprar
1	Puede que mi opinión haya cambiado, pero no el hecho de que estoy en lo cierto
1	Cuando era niño solía rezar todas las noches para tener una bicicleta nueva. Me di cuenta que el señor no trabaja así, por lo que robé una y le pedí que me perdonase
1	Puedo hacer muchas cosas al mismo tiempo, pero puedo evitar hacer muchas cosas simultáneamente
1	Si encuentras difícil reír por ti mismo, estaré feliz de hacerlo por ti
1	Obtén primero los hechos, entonces los puedes distorsionar como quieras
1	Nunca dejé que la escuela interfiriese con mi educación
1	Es un hombre hecho a si mismo y adora a su creador
1	Cuando era un niño Me dijeron que cualquiera Puede ser presidente y comienzo a creerlo
1	Me gustaría vivir en Manchester, Inglaterra. La transición entre Manchester y la muerte sería imperceptible
1	La acción habla más fuerte que las palabras, pero ni de cerca tan a menudo
1	Para estar seguro de dar en el blanco, dispara primero y llama a lo que hayas dado «el blanco»
1	No acudí al funeral, pero mandé una carta diciendo que lo aprobaba
1	Ama a la naturaleza a pesar de lo que ella te hizo
1	un psiquiatra Es un tipo que te pregunta muchas preguntas caras que tu esposa te hace por nada
1	Si somos la única vida inteligente en el Universo, al menos hay un número finito de idiotas
1	Lector, imagínese que fuese un idiota y que fuese un miembro del congreso. Pero me estoy repitiendo
1	Me gustan los paseos largos, especialmente cuando son tomados por gente que me molesta
1	Nada fija tan intesamente algo en la memoria como el deseo de olvidarlo
1	una consciencia limpia Es usualmente signo de mala memoria
1	los consumidores no son tontos; tu esposa forma parte de ellos
1	no soy vegetariana porque ame a los animales; lo soy porque odio a las plantas
1	Siempre esta negro antes de volverse absolutamente oscuro
1	su ignorancia Es enciclopédica
1	soy fácilmente satisfecho con lo mejor
1	no Es necesario entender las cosas para discutir sobre ellas
1	muchas personas son poco más que empleadas de sus posesiones
1	Nunca dejes para mañana lo que puedes dejar para pasado mañana
1	no perdimos el partido; Se nos acabó el tiempo
1	si no lees el periódico no estas informado; si lo lees estas desinformado
1	Cualquier mujer Puede ser glamurosa. todo lo que tienes que hacer Es permanecer de pie y parecer estúpida
1	Ser estúpido, el egoísmo y tener buena salud son tres requerimientos para la felicidad, pero si falta la estupidez, todo esta perdido
1	quiero o más corrupción o más oportunidad de participar en ella
1	un consenso significa que todo el mundo esta de acuerdo en decir colectivamente lo que nadie cree individualmente
1	La palabra aerobic viene de dos palabras griegas: aero, que significa habiliad para, y bic, que significa soportar un tremendo aburrimiento
1	no aceptes golosinas de extraños al menos que te lleven a algún sitio
1	Si fuese dos veces más inteligente que ahora, serías absolutamente estúpido
1	No eres tan malo como la gente dice, eres mucho, mucho peor
1	tienes un complejo de inferioridad y esta completamente justificado
1	los que creéis que lo sabéis todo sois molestos a los que lo saben todo
1	Solo dos cosas son infinitas, el Universo y la estupidez humana, y no estoy seguro de la primera
1	Un prisionero es un hombre que intenta matarte y falla, entonces te pide que no le mates
1	soy tan inteligente que a veces no entiendo una palabra de lo que digo
1	El primer problema de este país es la apatía, pero a quién le importa
1	Estoy ocupado. ¿Puedo ignorarte algo más de tiempo?
1	Si un extraño te ofrece una golosina, toma dos
1	El eterno dilema: demasiado cansado para levantarme, demasiado despierto para volver a dormir
1	la reunión entre procastinadores Se ha pospuesto
1	Ellos quieren verte crecer. Pero Nunca más que ellos. Recuérdalo
1	Sea lo que sea lo que te esta comiendo, debe esta sufriendo horriblemente
1	No agradezcas que te criticase, fue un placer
1	Estoy impresionado; Nunca He conocido una mente tan pequeña en una cabeza tan grande
1	¿Cienmil espermatozoides y fuiste el más rápido?
1	Nunca he matado a un hombre, pero he leído muchos obituarios con gran placer
1	el cerebro Es un órgano fantástico. Empieza a trabajar apenas nos despertamos y continúa funcionando hasta que entramos en la oficina
1	Estamos especializados en una constante repetición de la calamidad y de la estupidez
1	Debo admitir que nací a una edad muy temprana
1	los jóvenes creen que las personas mayores son tontos. los viejos saben que los jóvenes son tontos
1	Me gustas. La gente dice que no tengo buen gusto, pero me gustas
1	Me encantaría que fuésemos mejores desconocidos
1	Necesitas una cirugía plástica, no un doctor
1	el matrimonio Es la principal causa de divorcio
1	no He hablado a mi esposa en años. no la quería interrumpir
1	¡Cásate conmigo y nunca más miraré otro caballo!
1	Quédate conmigo, quiero estar solo
1	Puede que este borracho, señorita, pero por la mañana estaré sobrio y tú seguirás siendo fea
1	eres un hábito que Me gustaría patear. con los dos pies
1	El problema con el sentido común en la vida, es que la mayoría de la gente es tonta
1	La persona que te pida que seas tú mismo en tu vida, no te podía haber dado peor consejo
1	Recuerda: el momento en el que te sientes Solo Es el momento en el que más Necesitas estar solo. la ironía más cruel de la vida
1	No te angusties por tu corazón, te durará toda la vida
1	el jurado Está conformado por doce personas que fueron seleccionadas para decidir quién Tiene el mejor abogado
1	La única cosa que le impide a Dios enviar un segundo diluvio, es que el primero fue inútil
1	el matrimonio consiste en tratar de solucionar entre dos personas los problemas que Nunca hubieran existido Cuando Se Está solo
1	Si te casas lo vas a lamentar. Si no te casas, también lo vas a lamentar
1	las personas solteras deberían pagar más impuestos. Es injusto que unos hombres sean más felices que otros
1	algún día te darás cuenta de que tus hijos salieron feos y te preguntarás por qué no te casaste conmigo
1	a veces Es más fácil ser feliz si no sabes todo
1	Tan pronto como dejas de querer algo, lo obtienes
1	Nunca tendrás idea de lo mucho que me atraes hacia el abismo
1	Si haces que las personas piensen que están pensando, te amararán, pero si haces que piensen de verdad, te odiarán
1	En esta vida existen tres tipos de amores: el real, el normal y después está el que hacemos nosotros
1	Pasé tanto Pero tanto tiempo amándote en silencio que ahora no entiendo porque mi silencio no duró más
1	algunas veces necesito algo que sólo tú Me puedes dar: tu ausencia
1	Suenas mejor con la boca cerrada
1	Existen tres cosas que las mujeres necesitan en la vida: comida, agua y cumplidos
1	No me drogo, pero a veces desearía haberlo hecho. De esa forma cuando fallé en la vida habría tenido una excusa
1	Si una mujer te dice que tiene veinte años y parece tener dieciséis, tiene doce años. Si te dice que tiene veintiséis años y los aparenta, entonces tiene unos cuarenta años
1	un hombre Es tan fiel como sus opciones
1	Antes cruzaba el océano por ti, pero en la actualidad no cruzo ni los dedos por ti
1	Solo las personas que Se han casado entienden que Se Puede ser miserable y feliz al mismo tiempo
1	El mejor ejemplo de entropía es el cajón de los tuppers
1	Hoy he estado una hora persiguiendo a una mosca, para que sepa lo que se siente
1	La parodia grotesca es la última parada antes de la genialidad
1	7000 millones de personas en el planeta y tiene que tocarme precisamente a mí ser yo
1	No reírse de nada es de tontos, reírse de todo es de estúpidos
1	Tengo el superpoder de convertir en pijama la camiseta que me de la gana
1	Madurar es volver a salir de la piscina por las escaleras
1	Habrá que levantarse que este día no se va a desperdiciar solo
1	Yo no cumplo años, subo de nivel
1	Muy solucionada tienes que tener la vida para definirte como un soñador"
1	Aplaudir cuando aterriza un avión de Ryanair no es ninguna tontería
1	Reconoce tus errores antes de que otros los exageren
1	Afortunadamente la perseverancia es un gran sustituto del talento
1	Aquarius, esa bebida que nació para deportistas y acabó para personas con diarrea
1	Sabes que te estás haciendo mayor cuando empiezas a leer los PDF a un 125% de zoom
1	Dormir es algo tan bueno que me parece increíble que sea gratis
1	Más sospechoso que un asterisco detrás de la palabra gratis
1	Es mejor estar callado y parecer tonto que hablar y despejar las dudas definitivamente
1	Cómo tener confianza de una mujer que le dice a uno su verdadera edad. Una mujer capaz de decir esto es capaz de decirlo todo
1	Tenemos el mejor gobierno que el dinero puede comprar
1	Un especialista es alguien que se limita a sí mismo al modo de ignorancia que ha elegido
1	Alguien me está aburriendo; creo que soy yo
1	Todos los hombres nacen iguales, pero ésa es la última vez que lo son
1	Me agarro a mis prejuicios, son los testículos de mi mente
1	Sólo publican memorias aquellas personas que ya han perdido totalmente la memoria
1	Un alcohólico es alguien que no te cae bien y que bebe tanto como tú
1	De pequeño quise tener un perro, pero mis padres eran pobres y sólo pudieron comprarme una hormiga
1	El buen gusto hace bien a ciertos valores espirituales auténticos: como el propio gusto
1	No me importa lo que escriban de mí, mientras no sea cierto
1	No hay nada como el amor de una mujer casada. Es una cosa de la que ningún marido tiene la menor idea
1	Escribir sobre uno mismo es un poco incómodo. Yo por eso generalmente prefiero escribir sobre una mesa
1	¡Brindemos por nuestras novias y nuestras esposas! ¡Que no se encuentren nunca!
1	La tierra es un teatro, pero tiene un reparto deplorable
1	Los viejos lo creen todo; los adultos todo lo sospechan; mientras que los jóvenes todo lo saben
1	Hay dos tipos de personas: los que aprenden de sus errores y los que tienen problemas de aprendizaje
1	Discúlpeme, no le había reconocido: he cambiado mucho
1	Cuando me da por pensar de noche en mis defectos, me quedo dormido inmediatamente
1	Adoro los placeres sencillos; son el último refugio de los hombres complicados
1	Lo peor de ser mujer es que siempre tendrás un hombre intenso detrás de ti, es algo verdaderamente insoportable. Alguien que no quieres y se obsesiona con tenerte
1	Todo lo bueno en esta vida en exceso hace daño, pero tú haces daño a la primera y ni tampoco eres bueno en nada
1	Dicen que detrás de un hombre hay una gran mujer y claro que tienen razón, es que no pueden hacer nada por ellos solitos
1	No me gustaría compartir contigo ni un minuto de esos de los que desperdicio viendo programas de tv aburridos en las tardes
1	No es miedo a que me dejes, yo sufro estando contigo, el miedo es que siempre estés aquí
1	Estoy muy feliz, yo solo perdí un poco de mi tiempo contigo, tu, has perdido al posible amor de tu vida
1	El desamor es terrible, pero entre tanta pendejada, es mejor que haberte amado
1	Hola, tengo que deciros que he tenido un día estupendo, mejor que un sueño, pero hoy no ha sido ese día
1	La vida es tu intento por querer alcanzar todas tus metas cuando la realidad es que siempre te quedas atascado en la salida
1	Los hombres son los mejores amantes de las mujeres después de las propias mujeres, como no hay más sexos
1	Cuando era un niño me dijeron que cualquiera puede ser presidente y comienzo a creerlo
1	Lo único peor de que hablen de ti es que no hablen de ti
1	Es preciso que el placer tenga sus penas y el dolor sus placeres
0	No es que no quiera saberlo, es que no me importa
0	No permitiré que mis profesores interfieran en mi forma de pensar
0	Tenemos que estar dispuestos a dejar de lado la vida planificada, para poder tener la vida que nos espera
0	Conocerse a uno mismo es el principio de toda sabiduría
0	Ayer estaba listo, así que quería cambiar el mundo. Hoy soy sabio, por lo que me estoy cambiando mí mismo
0	Para dejar de hacer lo que no quieres, necesitas saber lo que quieres
0	De tres maneras podemos aprender: en primer lugar por la reflexión, que es la más noble; en segundo lugar, por imitación, que es más fácil; y en tercer lugar por la experiencia, que es la más amarga
0	Corta tu propia madera y te calentará dos veces
0	El aspecto más triste de la vida en ese momento es que la ciencia reúne el conocimiento más rápidamente que la sociedad reúne la sabiduría
0	No ganes el mundo y pierdas tu alma, la sabiduría es mejor que la plata o el oro
0	No estoy en este mundo para cumplir con tus expectativas y tú no estás en este mundo para cumplir las mías
0	El valor intrínseco de la vida depende de la conciencia y del poder de contemplación, no de la mera supervivencia
0	Aférrate a tus sueños, porque si los sueños mueren, la vida es un pájaro con las alas rotas, que no puede volar
0	Cualquier tonto puede saber. La clave está en entender
0	Hay momentos en que los problemas entran en nuestras vidas y no podemos hacer nada para evitarlos. Pero están ahí por una razón. Sólo cuando logremos superarlos, entenderemos por qué estaban allí
0	Hay tres cosas que todos los hombres sabios temen: el mar en la tempestad, una noche sin luna, y la ira de un hombre amable
0	Los obstáculos son esas cosas espantosas que ves cuando apartas los ojos de tu meta
0	El pasado no tiene poder sobre el momento presente
0	No pierdas tu tiempo con explicaciones: la gente sólo escucha lo que quiere escuchar
0	Si tú no sabes a dónde vas, cualquier camino te llevará allí
0	Vivimos en una época en que las cosas innecesarias son nuestras únicas necesidades
0	A veces a uno le gusta la gente tonta para su locura, más que la gente sabia por su sabiduría
0	No es que yo sea tan inteligente. Pero me quedo con las preguntas mucho más tiempo
0	Al caminar por la calle de la vida debes oler las rosas que sólo te vas a encontrar una vez
0	Conocer a los demás es inteligencia; conocerse a sí mismo es la verdadera sabiduría. Dominar a otros es la fuerza; el dominio de uno mismo es verdadero poder
0	El autoconocimiento no requiere aislamiento, pero sí el suficiente tiempo contigo mismo
0	Vas a hacer cosas tontas, pero hazlas con entusiasmo
0	El sentido común en un grado poco común, es lo que el mundo llama sabiduría
0	A su pesar, la fuerza a veces debe inclinarse ante la sabiduría
0	No soy lo suficientemente joven para saberlo todo
0	Los riesgos deben tomarse porque el peligro más grande en la vida es no arriesgar nada
0	El hombre sabio debe ser capaz no sólo de amar a sus enemigos, sino también a odiar a sus amigos
0	Nadie puede hacerte sentir inferior sin tu consentimiento
0	Los árboles son poemas que la Tierra escribe en el cielo, luego los cortamos y los convertimos en papel, para poder dejar constancia de nuestro vacío
0	El único hombre que nunca se equivoca es el que nunca hace nada
0	Nunca te quejes sin dar explicaciones. Resiste la tentación de defenderte a sí mismo a través de las excusas
0	Sé lo que deseas parecer
0	Tú mismo, tanto como cualquier otro en el universo entero, mereces tu amor y afecto
0	La medida de la inteligencia es la capacidad de cambiar
0	Nosotros sólo podemos saber que no sabemos nada. Y ese es el más alto grado de sabiduría humana
0	¿Sabio? No, simplemente aprendí a pensar
0	La mente una vez iluminada no puede volver de nuevo a la oscuridad
0	No te sacrifiques a ti mismo demasiado, porque si te sacrificas demasiado, no habrá nada más que puedas dar y ni nadie que cuide de ti
0	Dame una palanca lo suficientemente larga y un punto de apoyo en el que colocarla, y moveré el mundo
0	No estoy viendo el mundo, lo estoy interpretando
0	Nunca deje que tu sentido de la moral te impida hacer lo que es correcto
0	No pido ninguna corona, es algo que todos puedan ganar; tampoco tratar de conquistar el mundo, excepto el que tengo dentro
0	La única sabiduría verdadera está en saber que no sabe nada
0	Cuenta tu edad por amigos, no con años. Cuenta tu vida por sonrisas, no por lágrimas
0	En un buen salón de libros te sientes de alguna manera misteriosa que está absorbiendo la sabiduría contenida en todos los libros a través de tu piel, sin siquiera abrirlos
0	La diferencia entre el fracaso y el éxito reside en la voluntad del corazón
0	Pensar es una dura labor que pocas personas realizan
0	Un hombre que no se alimenta de sus sueños es un hombre que envejece pronto
0	No hay vida más completa que aquella que puedes vivir por elección propia
0	La vida es 10% lo que nos sucede y 90% como reaccionamos
0	Lo que cuenta no son los años en nuestra vida, sino la vida en nuestros años
0	La calidad de la vida de una persona es directamente proporcional a su compromiso con la excelencia. No importa a qué se dedique
0	¿Crees que soy sabio? No, simplemente aprendí a pensar
0	El que salta al vacío no le debe ninguna explicación a los que se paran a ver
0	El único realista de verdad es el visionario
0	El misterio es el elemento esencial de cualquier obra de arte
0	No importa lo lejos que vayas, siempre y cuando no te detengas
0	No estoy de acuerdo con lo que dices, pero defenderé con mi vida tu derecho a expresarlo
0	Solo existe un buen: el conocimiento. Solo existe un mal: la ignorancia
0	El lujo no es más que la pobreza artificial
0	Los ejemplos corrigen mejor que las reprimendas
0	No basta con tener buen ingenio, lo principal es aplicarlo bien
0	No es que tengamos poco tiempo, es que perdemos mucho tiempo
0	La libertad consiste en ser dueños de nuestra propia vida
0	La pureza del corazón consiste en desear una cosa
0	Søren Kierkegaard
